id,name,author_name,author_note,ingredients,steps
10,Hovězí guláš s karlovarským knedlíkem,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Bobkový list, Drcený kmín, Hovězí plec vcelku, Karlovarský knedlík, Krájená cibule, Máslo, Mléko, Muškátový oříšek mletý, Pepř černý , Plocholistá petržel, Rajský protlak, Rohlíky, Sádlo, Sladká paprika, Sůl, Sušená majoránka, Vejce","Cibuli nakrájíme nahrubo. Maso nakrájíme na kostky o hraně 4 cm., Jakmile je maso měkké, promneme v dlaních do guláše majoránku, dle potřeby znovu osolíme a opepříme, promícháme a ještě 5 minut vaříme. Hotový guláš necháme odpočinout alespoň 15 minut., Poté kastrol vrátíme na vyšší oheň, přidáme maso a za častého míchání restujeme, dokud se ze dna kastrolu neodpaří veškerá šťáva, kterou maso pustí. Jakmile zbyde na dně kastrolu opět jen tuk, stáhneme oheň na střední stupeň a restujeme maso dalších 5 minut za častého míchání dozlatova., Přilijeme tolik vody, aby její hladina dosahovala 1 cm nad orestované maso. Vše důkladně promícháme plochou vařečkou ze dna kastrolu, aby se vytvořený nápek rozpustil., Připravenou hmotu položíme na potravinářskou fólii a pevně zabalíme do tvaru bonbonu. Ten ještě zabalíme do jedné vrstvy fólie., Přivedeme k varu, přikryjeme pokličkou, stáhneme oheň na minimum a dusíme na velmi mírn"
11,Bábovka s ořechy,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Cukr krupice, Hrubá mouka, Kakao, Káva vhodná k tomuto pokrmu, Máslo, Mléko, Moučkový cukr, Polohrubá mouka, Vejce, Vlašské ořechy","Sníh z bílků musí být tak tuhý, že při obrácení dnem vzhůru nevypadne z misky.

Po upečení zapíchněte do bábovky špejli. Pokud se na špejli objeví lepivé těsto, pečte bábovku dalších 5 minut a test se špejlí zopakujte.

Nejde-li bábovku vyklopit, přikryjte obrácenou formu studenou mokrou utěrkou. Po chvilce se
sama uvolní. Takovou pomoc ovšem nebudete potřebovat, když formu důkladně vymažete
sádlem místo oleje nebo másla. Můžete ji také místo mouky vysypat strouhankou.

Do těsta můžete přidat rozinky.

Ještě horkou bábovku můžete potřít rozehřátým máslem a ihned posypat moučkovým cukrem., Těsto vlijeme do připravené formy, vložíme do rozehřáté trouby a pečeme 35–40 minut. Po upečení bábovku ihned vyklopíme z formy na mřížku. Po vychladnutí bábovku posypeme moučkovým cukrem., Troubu rozehřejeme na 160 °C. Bábovkovou formu důkladně vymažeme máslem a vysypeme hrubou moukou., V rendlíku rozehřejeme máslo. Pě"
12,Hrášková krémová polévka,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Cibule, Cukr krupice, Kuřecí vývar, Máslo, Máta, Mražený hrášek, Pepř černý , Pórek, Smetana ke šlehání (min. 31%), Sůl, Zakysaná smetana","Pokud chcete, aby polévka získala svěží zelenou barvu, nesmíte hrášek dlouho vařit, při delším vaření totiž šedne.

Polévku můžete podávat s opečenými krutony z rohlíku či housky., Pórek a cibuli nakrájíme najemno. V kastrolu na středním ohni rozehřejeme 70 g másla, přidáme pórek a cibuli, zamícháme, přiklopíme poklicí a necháme dusit 3 minuty. Opět promícháme., Přidáme lístky máty, zbylé máslo a polévku důkladně rozmixujeme v mixéru. Poté ji přepasírujeme přes cedník do čistého hrnce. Polévku před podáváním jen krátce prohřejeme a dle potřeby dochutíme solí., Přidáme mražený hrášek, zvýšíme oheň a důkladně mícháme 2 minuty. Přilijeme vroucí vývar, osolíme, opepříme, přidáme cukr a přivedeme k varu. Přidáme sladkou i zakysanou smetanu, opět přivedeme k varu a kastrol stáhneme z ohně."
14,Kuřecí polévka s kokosovým mlékem,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Čerstvý koriandr, Červená Chilli paprička, Česnek, Jarní cibulka, Kokosové mléko, Kuřecí prsa bez kůže, Kuřecí vývar, Limeta, Rybí omáčka, Sůl, Třtinový hnědý cukr, Zázvor","Maso vyndáme z hrnce a nakrájíme na plátky silné 1 cm. Hotový vývar přecedíme přes jemné síto do čistého hrnce., Ochucený vývar přivedeme k varu, přidáme do něj zázvor a kokosové mléko a opět přivedeme k varu. Přidáme nakrájený koriandr, nakrájené maso z ochuceného vývaru a cukr, promícháme, přivedeme k varu a vaříme 3 minuty., Přidáme limetovou šťávu, promícháme, přidáme rybí omáčku, znovu přivedeme k varu a vaříme další 3 minuty. Dle chuti osolíme. Přidáme jarní cibulku a chilli papričku, promícháme a stáhneme z ohně., Suroviny na vývar dáme do hrnce, přivedeme k varu, stáhneme vytvořenou pěnu a vaříme nezakryté na mírném ohni 15 minut. Poté stáhneme z ohně a necháme 20 minut odstát., Zázvor nakrájíme na tenké plátky, koriandr i se stonky a jarní cibulku nakrájíme najemno. Chilli papričku nakrájíme na jemné plátky., Zbytek ochuceného vývaru můžete zamrazit nebo připravit víc"
15,Kuřecí vývar,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Bobkový list, Černý pepř celý, Čerstvý tymián, Česnek, Cibule, Kuřecí křídla, Kuřecí krky, Kuřecí skelet, Mrkev, Nové koření celé, Plocholistá petržel, Pórek, Řapíkatý celer, Sůl","Hotový vývar přecedíme přes jemné síto a případně svaříme na objem cca 3 litrů. Jakmile vývar vychladne, stáhneme z povrchu tuk a vyhodíme ho., Krky a křídla důkladně propláchneme pod tekoucí vodou a vložíme je do velkého hrnce spolu s kůžemi a opečenými skelety. Zalijeme vodou tak, aby vše bylo potopené, a přivedeme k varu. Stáhneme pěnu, která se utvoří na povrchu. Přidáme pepř, sůl, nové koření, tymián a bobkový list. Stáhneme oheň na minimum a vaříme 75 minut., Mrkev, celer a pórek nakrájíme na kostičky o hraně 0,5 cm. Cibuli a česnek nakrájíme najemno., Přidáme nakrájenou zeleninu, cibuli, česnek a plocholistou petržel. Na středním ohni přivedeme k varu, stáhneme oheň na minimum, sebereme vzniklou pěnu a vaříme 45 minut., Troubu rozehřejeme na 220 °C., Vývar ihned použijte, případně co nejrychleji vychlaďte v ledové lázni. 

Po vychlazení stáhněte z vývaru tukový škraloup a vývar uložte do lednice nebo dejte po čás"
16,Kuskus se sušeným ovocem,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Badyán, Citron, Granátové jablko, Kuskus, Mandlové plátky, Máta, Nesolené pistácie, Olivový olej, Pepř černý , Piniové oříšky, Plocholistá petržel, Rozinky, Strouhaný kokos, Sůl, Sušené meruňky, Svitek skořice","600 ml vody přivedeme k varu společně s badyánem, skořicí a 1 lžící soli. Jakmile voda začne bublat, přilijeme ji do mísy ke kuskusu. Přidáme 2 lžíce olivového oleje, důkladně promícháme, přiklopíme poklicí nebo obráceným talířem a necháme odstát, dokud se nevstřebá veškerá voda a kuskus nezměkne. Vyndáme badyán a skořici a vyhodíme je., Granátové jablko rozkrojíme a pomocí lžíce z něj vyklepneme zrníčka. Odstraníme z nich případnou bílou dužninu. Meruňky nakrájíme nadrobno, pistácie nahrubo. Do hotového kuskusu vmícháme piniová semínka, pistácie, mandlové plátky, sušené ovoce, kokos, nakrájené bylinky, semínka z granátového jablka a citronovou kůru a šťávu. Vmícháme zbylý olivový olej, dle chuti osolíme, opepříme a promícháme., Kuskus dáme do větší mísy., Na středním ohni rozehřejeme pánev a nasucho na ní za stálého míchání orestujeme strouhaný kokos do světle zlaté barvy. Hotový kokos dáme do misky vychl"
17,Segedínský guláš,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Česnek, Cibule, Hladká mouka, Houskové knedlíky, Kmín mletý, Kysané bílé zelí, Sádlo, Sladká paprika, Slanina, Sůl, Vepřová plec (vcelku i kostky), Vhodné pivo, Zakysaná smetana","Maso nakrájíme na kostky o hraně 2 cm. Slaninu nakrájíme na kostky o hraně 1 cm. Cibuli nakrájíme najemno. Zelí vymačkáme z nálevu a nahrubo překrájíme. Česnek oloupeme a prolisujeme., Přidáme orestovanou slaninu a zelí a dusíme dalších 30 minut nebo než je maso měkké. Občas zamícháme. Přidáme zakysanou smetanu, promícháme a vaříme na mírném ohni 3 minuty. Dle chuti osolíme., Stáhneme oheň pod polovinu, přidáme sladkou papriku a restujeme 1 minutu. Přidáme mouku a za stálého míchání restujeme 1 minutu. Přidáme 1 lžičku soli, 1,4 l vody a přivedeme k varu. Stáhneme oheň pod třetinu, přiklopíme poklicí a dusíme 30 minut., V kastrolu na vyšším ohni orestujeme slaninu dozlatova a dáme stranou. Do kastrolu přidáme sádlo a kmín a promícháme. Stáhneme oheň na polovinu, přidáme cibuli a za občasného míchání 15 minut restujeme. Přidáme maso, zvýšíme oheň a zprudka ho za častého míchání restujeme 5 minut. Přidáme česnek a zamí"
18,Sekaná,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Bageta, Brambory typ A, B, C, Česnek, Chléb, Cibule, Drcený kmín, Mléko, Mleté hovězí maso, Mleté vepřové maso, Pepř černý , Rohlíky, Sůl, Sušená majoránka, Vejce, Vhodné pivo","Mleté maso vložíme do větší mísy, přidáme namočené pečivo, zbylé suroviny a důkladně promícháme. Mokrýma rukama vytvarujeme z masové hmoty šišku. Uhladíme ji, na povrchu potřeme vodou a vložíme do pekáče., Na sekanou pečeni použijte polovinu libového hovězího a polovinu tučnějšího vepřového. Jen z hovězího bývá suchá a drobí se. Směs na sekanou můžete podle potřeby zahustit strouhankou nebo naopak přidat trochu vody.

Čerstvě drcený kmín dá sekané výraznější a lepší chuť než kupovaný mletý. Můžete ho utlouct ve starém hmoždíři.

Šišku sekané doslova uplácejte, aby se masová hmota dobře spojila a nezůstaly v ní žádné vzduchové bubliny. Upečená sekaná by měla být měkká, pružná a šťavnatá.

Do sekané můžete podle chuti přidat tymián nebo červenou papriku anebo můžete její povrch poklást plátky slaniny.

Do sekané můžete před pečením vložit vejce uvařená natvrdo nebo přidat na kostičky nakr"
19,Indické kuře,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Celé kuře, Kari koření, Máslo, Pálivá paprika, Pepř černý , Rýže, Sladká paprika, Smetanový bílý jogurt, Sůl, Víno vhodné k drůbežímu masu","Jogurt důkladně smícháme s kořením a solí., Kuře je nutné nechat odležet v marinádě alespoň 12 hodin, díky tomu pokrm získá svou jedinečnou chuť.

Nejlépe chutná s dušenou rýží., Kuře nařízneme na prsou a stehnech do hloubky 1 cm. Poté ho po celé ploše (včetně zářezů) důkladně potřeme kořeněným jogurtem. Kuře vložíme do mísy, přikryjeme potravinářskou fólií a dáme přes noc odležet do lednice., Na pekáč položíme máslo nakrájené na kostky, přilijeme horkou vodu do výšky 0,5 cm a do pekáče položíme kuře i s veškerým jogurtem, ve kterém se kuře marinovalo., Pekáč vložíme do rozehřáté trouby a pečeme 75 minut, nebo než půjde stehenní kost bez odporu protočit. Během pečení kuře několikrát přelijeme výpekem., Troubu rozehřejeme na 180 °C."
20,Hovězí roštěnky na houbách,Roman Vaněk,"S Rohlíkem jsme dali dohromady výběr nejoblíbenějších receptů z mých kuchařek a propojili je se správnými ingrediencemi. Dejte nám vědět, jak se vám jídlo povedlo <strong>#rohlikchef</strong>","Brambory typ A, B, C, Cibule, Hladká mouka, Hovězí roštěná, Hovězí vývar, Máslo, Ocet, Pepř černý , Plocholistá petržel, Rýže, Sádlo, Směs čerstvých hub, Sůl, Sušené houby, Těstoviny, Víno vhodné k hovězímu masu","Čerstvé houby očistíme, větší nakrájíme nahrubo, menší necháme vcelku. V nepřilnavé pánvi na vyšším ohni zpěníme 30 g másla a houby na něm zprudka orestujeme dozlatova. Stačí jen 2–3 minuty. Osolíme a opepříme a zhruba po 30 minutách dušení masa je přidáme k roštěnkám. Přilijeme zbytek vývaru, přiklopíme pokličkou a dusíme na velmi mírném ohni doměkka., Cibuli nakrájíme najemno. Plátky masa osolíme, opepříme a z obou stran poprášíme hladkou moukou., Doba, po kterou budete roštěnky dusit, závisí na druhu, kvalitě a stáří masa. Roštěnky z býka budete například dusit kratší čas než roštěnky z krávy. Maso z býka nebo jalovice je navíc chutnější.

Čerstvé houby restujte zprudka ve větší pánvi, aby nepustily vodu a nezačaly se dusit.

V okamžiku, kdy do omáčky přimícháváte studené máslo, se omáčka již dál nesmí vařit.

Máslo je dobré pokrájet na menší kostičky – do omáčky je postupně přimíchejte.
Másl"
